# 12_Everyday.txt — 生活场景基础词（第三轮补充）
# 三轮补词后，语料里剩下的高频未收录词主要是日常生活与校园场景的基础名词、
# 动词和形容词。这些词单看都会，但在真题长句里常因不熟搭配而读不通。
# 格式：单词|词性|义项(;分隔,*为常考义)|等级|搭配提示

body|n.|*身体;主体;团体;尸体|A|body language 肢体语言
exercise|n./v.|*锻炼;练习;运用;行使|A|do exercise 做运动
hand|n./v.|*手;指针;人手;递给|A|on the other hand 另一方面
book|n./v.|*书;书籍;预订|A|book a ticket 订票
books|n.|*书(book 的复数)|A|—
paper|n.|*纸;论文;报纸;文件|A|paper work 文书工作
read|v.|*阅读;读懂;标明|A|read aloud 朗读
readers|n.|*读者;读物(reader 的复数)|A|—
bookstore|n.|*书店|A|—
page|n.|*页;页面;时期|A|front page 头版
story|n.|*故事;报道;楼层|A|tell a story 讲故事
stories|n.|*故事(story 的复数)|A|—
lesson|n.|*课;教训;课程|A|learn a lesson 吸取教训
classes|n.|*班级;课程(class 的复数)|A|—
essays|n.|*文章;论文(essay 的复数)|A|—
tests|n.|*测试;考试(test 的复数)|A|—
answer|n./v.|*回答;答案;解答|A|answer for 对…负责
ask|v.|*问;要求;请求|A|ask for 请求
asked|v.|*问(ask 的过去式)|A|—
mistakes|n.|*错误;失误(mistake 的复数)|A|make mistakes 犯错
advice|n.|*建议;忠告;意见|A|a piece of advice 一条建议
discussion|n.|*讨论;商议;论述|A|under discussion 在讨论中
explanation|n.|*解释;说明;辩解|A|—
choice|n.|*选择;选择权;供选择的东西|A|make a choice 做选择
send|v.|*发送;寄;派遣|A|send for 派人去请
bring|v.|*带来;引起;使处于|A|bring about 引起
come|v.|*来;到达;发生;变得|A|come true 实现
comes|v.|*来(come 的第三人称单数)|A|—
look|v./n.|*看;看起来;神情|A|look after 照顾
meet|v.|*遇见;满足;会面|A|meet the need 满足需求
reach|v./n.|*到达;达到;伸手;范围|A|out of reach 够不着
buy|v.|*买;购买;相信|A|buy up 全部买下
leave|v./n.|*离开;留下;休假|A|leave behind 留下
leaving|v.|*离开(leave 的现在分词)|A|—
lost|v./adj.|*丢失(lose 的过去式);迷失的|A|get lost 迷路
lived|v.|*居住(live 的过去式)|A|—
living|n./adj.|*生活;生计;活着的|A|make a living 谋生
known|adj./v.|*已知的;知名的(know 的过去分词)|A|be known as 被称为
set|v./n.|*设置;放置;一套;确定|A|set up 建立
start|v./n.|*开始;启动;起点|A|to start with 首先
end|n./v.|*结束;末端;目的|A|in the end 最后
growing|adj./v.|*增长的;生长(grow 的现在分词)|A|growing demand 日益增长的需求
