单词,词性,释义,等级,真题原句,原句译文,上文,下文,题目情境,原题,原题译文,年份,套次,题型,篇目,出现次数
they,pron.,★他们；她们；它们；人们,A 基础高频,"Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.",按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。,A label that announces fifty percent off does something strange to the human mind.,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,132
they,pron.,★他们；她们；它们；人们,A 基础高频,"Every year, families argue about the same question: should a student choose the subject they love, or the one that leads to a secure job?",每年，家家户户都在争论同一个问题：学生该选自己喜欢的专业，还是选好就业的那个？,,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,132
they,pron.,★他们；她们；它们；人们,A 基础高频,"Music is slower at weekends, when shoppers are less hurried and therefore more likely to buy things they had not planned.",周末的音乐节奏更慢，因为那时购物者不赶时间，更容易买下原本没打算买的东西。,"Items that generate the highest profit are positioned at eye level, while cheaper alternatives are placed on the lowest shelves, where adults rarely look and children do.","Supermarkets defend these techniques as a service to customers, arguing that a logical arrangement helps people find what they need.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,132
for,prep./conj.,★为了；因为；给；持续,A 基础高频,"Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it for generations.",自然保护区在地图上画出来时，那片土地仿佛是空的，但在多数情况下，人们已经在那里世代居住。,,"When a reserve is created, those residents may suddenly find that the activities which fed their families are now forbidden, while the animals they were asked to protect destroy their crops.",仔细阅读：野生动物保护区与当地居民的利益冲突,50. What does the author suggest?,作者的建议是什么？,2021年12月,第1套,仔细阅读,Passage Two,96
for,prep./conj.,★为了；因为；给；持续,A 基础高频,"The problem cannot be solved by deleting rumours alone, because the demand for surprising stories remains.",仅靠删除谣言解决不了问题，因为对离奇故事的需求还在。,"Studies suggest that even a brief pause, prompted by a simple question, reduces the number of false stories people forward.",,仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,96
for,prep./conj.,★为了；因为；给；持续,A 基础高频,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,任何一位为了一升牛奶走进超市、最后拎着满满一篮子商品出来的人，都体验过零售业里研究得最透彻的布局。,,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,96
are,v./aux.,★是；存在(be 的复数),A 基础高频,"Experiments show that customers are more likely to buy when they can see the comparison, even when the so-called original price was never actually charged.",实验表明，只要能看到对照，顾客就更可能下单，哪怕那个所谓的原价其实从未真正收过。,"Retailers understand the mechanism perfectly, which is why the original price is almost always displayed beside the reduced one.",The feeling of scarcity intensifies the effect.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,93
are,v./aux.,★是；存在(be 的复数),A 基础高频,The explanation is not that people are foolish.,解释并不是人们愚蠢。,"A study that examined millions of messages shared online reached an uncomfortable conclusion: false information travels faster, further and deeper than accurate information.","It is that a rumour is usually more surprising than the truth, and surprise is what makes something worth passing on.",仔细阅读：网络谣言为什么传播得比真相快,46. What does the passage mainly discuss?,这篇文章主要讨论什么？,2021年6月,第1套,仔细阅读,Passage One,93
are,v./aux.,★是；存在(be 的复数),A 基础高频,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",牛奶、面包和鸡蛋这类必需品被有意放在商店最里面或相对的两侧，顾客为了拿到它们，必须经过几百种其他商品。,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,The route is not random.,仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,93
who,pron.,★谁；…的人；他/她,A 基础高频,"Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.",按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。,A label that announces fifty percent off does something strange to the human mind.,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,79
who,pron.,★谁；…的人；他/她,A 基础高频,"Graduates who selected a subject mainly because of its employment prospects are not necessarily happier in their work, and a substantial proportion of them leave the field within five years.",主要因为就业前景而选择专业的毕业生，工作时未必更开心，其中相当大一部分人在五年内就离开了这个领域。,"The debate is usually presented as a choice between idealism and realism, but the evidence does not support such a sharp distinction.","Interest, meanwhile, has a practical value that is easy to overlook: students who are genuinely curious study harder, absorb material faster, and are more willing to persist when a course becomes difficult.",仔细阅读：选择专业时应该看兴趣还是就业前景,50. What is the author's conclusion?,作者的结论是什么？,2021年6月,第1套,仔细阅读,Passage Two,79
who,pron.,★谁；…的人；他/她,A 基础高频,Anyone who has entered a supermarket for a litre of milk and left with a basket full of goods has experienced the most carefully studied layout in retail.,任何一位为了一升牛奶走进超市、最后拎着满满一篮子商品出来的人，都体验过零售业里研究得最透彻的布局。,,"Essentials such as milk, bread and eggs are deliberately placed at the back or on opposite sides of the store, so that customers must walk past hundreds of other products in order to reach them.",仔细阅读：为什么超市要把必需品放在最里面,46. What is the passage mainly about?,这篇文章主要讲什么？,2022年12月,第1套,仔细阅读,Passage One,79
not,adv.,★不；没有；并非,A 基础高频,"Shoppers who would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.",按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。,A label that announces fifty percent off does something strange to the human mind.,Economists call this the transaction utility: the pleasure comes not from the object but from the bargain itself.,仔细阅读：折扣为何让人买下不需要的东西,46. What is the passage mainly about?,这篇文章主要讲什么？,2021年12月,第1套,仔细阅读,Passage One,73
